# Deliberately held Puppet classes.
# Format: <class_short_name> — <reason>
# The first whitespace-delimited token on each non-comment, non-empty line is the class short-name.

network_dhcp — blocked: network_config custom type fails on Puppet 8 (puppet-network/puppet-filemapper won't load); reimplementation candidate preserved at .codex_state/candidates/network_dhcp.reimplemented.pp; pending HQ resolution of dependency fork (a/b/c/d). See DESIGN_DECISIONS.md.
network_static — blocked: same network_config root cause (also uses network_route); puppet-network/filemapper Puppet-8 incompat; deferred with networking cluster pending module-level resolution (a: P8-compatible module, or b: fix filemapper). See DESIGN_DECISIONS.md.
openvpn_server — blocked: heavy network_config use (lo/lo:0/br0 bridge, bridge_ports, loopback aliasing, subscribe refs); puppet-network/filemapper Puppet-8 incompat; do NOT reimplement per-class; deferred with networking cluster pending module-level resolution. See DESIGN_DECISIONS.md.
network_vpn — blocked: transitively (chains openvpn_server); deferred with networking cluster pending module-level resolution. See DESIGN_DECISIONS.md.
firewall_addon_hosting — blocked: migration is CORRECT (action=>jump, 3 lines, behaviour-preserving, verified vs release-0.9.8) and preserved at .codex_state/candidates/firewall_addon_hosting.migrated.pp; NOT a code problem. Blocked on VALIDATION: class sets OUTPUT chain purge+policy=drop allowing only RELATED/ESTABLISHED+DNS+NTP, so an isolated harness run severs the node NEW outbound to master:8140 and run 2 hangs. Class documents it requires a base firewall (firewall/firewall_secure). Unblocks when base-context harness capability exists. See DESIGN_DECISIONS.md.
backup — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
backup_rsnapshot — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
docker_container — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
filesystem_sec — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
hello_world_flask — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
letsencrypt_certificate — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
linux_policies_user — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
mount_shares_desktop — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
nginx_frontend_domain — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
nginx_static_domain — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
openvpn_nm_connection — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
openvpn_set_vpn_passwd_file — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
postfix_smtp_base_config_file — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
sftp_only — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
ssl_base — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
ssl_nginx_domain — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
sync — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
sysmon_fs_health — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
sysmon_mysqldump_health — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
user — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
user_base — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
user_desktop — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
user_desktop_sudoer — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
user_kde_lock_screen — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
user_lock — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
user_samba — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
user_sudoer — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
user_sysmon — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
users_sudoers — blocked: harness cannot classify defined types (emits 'include', which is invalid for a define; needs title + parameters). NOT a code problem — migration not yet attempted, validation capability pending. Unblocks when the harness classification recipe capability lands. See DESIGN_DECISIONS.md.
